brand;model;year_from;year_to;engine_volume;fuel_type;oil_ngn_5w30_product;oil_ngn_5w30_article;oil_ngn_5w40_product;oil_ngn_5w40_article;oil_specs;oil_fill_liters;filter_oil_mann;filter_oil_lynx;filter_oil_sufix;filter_air_mann;filter_air_lynx;filter_air_sufix;filter_cabin_mann;filter_cabin_lynx;filter_cabin_sufix;notes;at_type;at_oil_specs;at_oil_fill_liters;at_ngn_product;at_ngn_article;filter_oil_oe;filter_air_oe;filter_cabin_oe;oil_ngn_aline_5w30_product;oil_ngn_aline_5w30_article;oil_ngn_aline_5w40_product;oil_ngn_aline_5w40_article
Kia;Rio IV (YB);2017;2020;1.6 Gamma;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN, ILSAC GF-4/GF-5, ACEA A5/B5;3.6;W 811/80;LC-1909;SP1041;C 26 048;LA-1459;SO-1027;CU 21 008;LAC-105;SS-1031;Заполнено агентом;АКПП-6 (A6GF1);ATF SP-IV;4.0 (частично) / 7.3 (полно);NGN ATF SP-IV;V182575126;26300-35531;28113-H8100;97133-D1000;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Kia;Rio III (UB);2011;2017;1.6 Gamma;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM, ILSAC GF-4;3.3;W 811/80;LC-1909;SP1041;C 25 016;LA-1458;SO-1026;CU 2336;LAC-1947;SS-1031;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;26300-35531;28113-1R100;97133-2E210;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Hyundai;Solaris II;2017;2020;1.6 Gamma;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN, ILSAC GF-4/GF-5, ACEA A5/B5;3.6;W 811/80;LC-1909;SP1041;C 26 048;LA-1459;SO-1027;CU 21 008;LAC-105;SS-1031;Заполнено агентом;АКПП-6 (A6GF1);ATF SP-IV;4.0 (частично) / 7.3 (полно);NGN ATF SP-IV;V182575126;26300-35531;28113-H8100;97133-D1000;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Hyundai;Solaris I;2010;2017;1.6 Gamma;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM, ILSAC GF-4;3.3;W 811/80;LC-331 / LC-1909;SP1041;C 25 016;LA-1458;SO-1026;CU 2336;LAC-1947;SS-1031;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Lada;Vesta;2015;2023;1.6 (ВАЗ-21129);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL/SM/SN, ACEA A3/B4;4.4;W 914/2;LC-218;нет данных;C 27 030;LA-1900;нет данных;CU 22 011;LAC-1925;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Lada;Vesta;2016;2023;1.8 (ВАЗ-21179);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL/SM/SN, ACEA A3/B4;4.4;W 914/2;SLC8614 / LC-218;нет данных;C 27 030;LA-1900;нет данных;CU 22 011;LAC-1925;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Lada;Granta;2011;2025;1.6 (8 кл);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL/SM/SN;3.2;W 914/2;LC-1030;нет данных;C 22 117;LA-1505;нет данных;CU 26 004;LAC-1906;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Toyota;Camry (XV70);2017;2024;2.5 (A25A-FKS);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN, ILSAC GF-5, 0W-20 / 5W-30;4.5;HU 7019 z;нет данных;нет данных;C 27 063;нет данных;нет данных;нет данных (OEM 8713928020);нет данных;нет данных;Заполнено агентом;АКПП (UA80E/U761E);Toyota ATF WS;4.0 (частично) / 8.8 (полно);NGN ATF WS;V182575131;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Toyota;Camry (XV50);2011;2017;2.5 (2AR-FE);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN, ILSAC GF-5, 0W-20 / 5W-30;4.4;HU 7019 z;нет данных;нет данных;нет данных (OEM 1780128030);нет данных;нет данных;CU 1919;LAC-141;нет данных;Заполнено агентом;АКПП (U760E);Toyota ATF WS;4.0 (частично) / 10.5 (полно);NGN ATF WS;V182575131;04152-YZZA1;17801-V1000;87139-YZZ82;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Duster;2010;2021;2.0 (F4R);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4, Renault RN0700/RN0710;5.4;W 75/3;нет данных;нет данных;C 1858/2 (C 27 030 c 2015г);нет данных;нет данных;CU 1829;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
